name,drug_class,cid,molecular_formula,molecular_weight,iupac_name,canonical_smiles,isomeric_smiles,xlogp,h_bond_donors,h_bond_acceptors,rotatable_bonds,tpsa,exact_mass,charge,viol_mw,viol_logp,viol_hbd,viol_hba,viol_tpsa,viol_rotbonds,ro5_violations,passes_ro5,AMES,BBB_Martins,Bioavailability_Ma,CYP2D6_Veith,CYP3A4_Veith,hERG,HIA_Hou,Caco2_Wang,Solubility_AqSolDB,DILI,Pgp_Broccatelli,BBB_Martins_drugbank_approved_percentile,hERG_drugbank_approved_percentile,mw_score,logp_score,tpsa_score,druglikeness_score,clean_smiles,score_mw,score_logp,score_tpsa,score_hbd,score_rotbonds,score_bbb,score_herg,score_ames,composite_score,rank,shortlisted
similar_to_56944144_56944245,DORA_analog,56944245,C22H20F2N4O2,410.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-(4-fluorophenyl)-N-(5-fluoro-2-pyridinyl)cyclopropane-1-carboxamide",CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C=C3)F)C4=CC=C(C=C4)F)C,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC=C(C=C4)F)C,3.2,1,7,6,77.0,410.15543222,0,False,False,False,False,False,False,0,True,0.4002258,0.88985884,0.97050416,0.019995686,0.73135525,0.6910223,0.999976,-4.7840605,-5.0558143,0.88266134,0.22242148,67.20562390158173,71.52899824253076,1.0,1.0,0.7,2.7,Cc1ncc(OC[C@@]2(c3ccc(F)cc3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,1.0,1.0,0.7,0.8,0.7,0.88985884,0.3089777,0.5997741999999999,0.7688000749999999,11,True
similar_to_56944144_56944043,DORA_analog,56944043,C23H22F2N4O2,424.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-4-methyl-2-pyridinyl)-2-(3-fluorophenyl)cyclopropane-1-carboxamide",CC1=CC(=NC=C1F)NC(=O)C2CC2(COC3=CN=C(N=C3C)C)C4=CC(=CC=C4)F,CC1=CC(=NC=C1F)NC(=O)[C@@H]2C[C@@]2(COC3=CN=C(N=C3C)C)C4=CC(=CC=C4)F,3.5,1,7,6,77.0,424.17108228,0,False,False,False,False,False,False,0,True,0.39147744,0.92684877,0.9716018,0.024371201,0.83219033,0.7588431,0.99999607,-4.8052073,-5.457322,0.88763696,0.2948598,73.1810193321617,75.95782073813709,1.0,1.0,0.7,2.7,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2cc(C)c(F)cn2)c(C)n1,1.0,1.0,0.7,0.8,0.7,0.92684877,0.2411569,0.6085225599999999,0.7683118554999999,12,True
similar_to_24965990_137652411,DORA_analog,137652411,C23H22N6O2,414.5,"[(3aR,6aS)-2-(1,3-benzoxazol-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CC4CN(CC4C3)C5=NC6=CC=CC=C6O5,CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3C[C@H]4CN(C[C@H]4C3)C5=NC6=CC=CC=C6O5,3.8,0,6,3,80.3,414.18042397,0,False,False,False,False,False,False,0,True,0.46283245,0.8907933,0.8392865,0.1627225,0.9764062,0.913335,0.99999446,-4.919154,-5.6914473,0.91879225,0.75523627,67.38137082601055,87.76801405975397,1.0,1.0,0.7,2.7,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@@H]3CN(c4nc5ccccc5o4)C[C@@H]3C2)c1,1.0,1.0,0.7,1.0,1.0,0.8907933,0.08666499999999999,0.5371675499999999,0.7675564525,13,True
similar_to_56944144_67281908,DORA_analog,67281908,C23H23FN4O3,422.5,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-4-methoxy-2-pyridinyl)-2-phenylcyclopropane-1-carboxamide",CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C(=C3)OC)F)C4=CC=CC=C4)C,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C(=C3)OC)F)C4=CC=CC=C4)C,3.0,1,7,7,86.2,422.17541877,0,False,False,False,False,False,False,0,True,0.405264,0.90189755,0.974326,0.013778409,0.7768093,0.71977043,0.99999297,-4.868087,-5.0556097,0.9118079,0.24271354,68.92794376098419,73.49736379613357,1.0,1.0,0.7,2.7,COc1cc(NC(=O)[C@@H]2C[C@@]2(COc2cnc(C)nc2C)c2ccccc2)ncc1F,1.0,1.0,0.7,0.8,0.7,0.90189755,0.28022957000000004,0.5947359999999999,0.767245623,14,True
similar_to_56944144_67282848,DORA_analog,67282848,C22H19F3N4O2,428.4,"cis-(1R,2S)-2-(3,4-difluorophenyl)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-2-pyridinyl)cyclopropane-1-carboxamide",CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C=C3)F)C4=CC(=C(C=C4)F)F)C,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C=C3)F)C4=CC(=C(C=C4)F)F)C,3.3,1,8,6,77.0,428.14601035,0,False,False,False,False,False,False,0,True,0.40175715,0.90089494,0.9683503,0.029713502,0.82464105,0.7288011,0.9999841,-4.6870995,-5.03164,0.880528,0.2486585,68.78734622144113,73.91915641476275,1.0,1.0,0.7,2.7,Cc1ncc(OC[C@@]2(c3ccc(F)c(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,1.0,1.0,0.7,0.8,0.7,0.90089494,0.2711989,0.59824285,0.7658157125,15,True
similar_to_56944144_67473935,DORA_analog,67473935,C22H22N4O2,374.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-2-phenyl-N-pyridin-3-ylcyclopropane-1-carboxamide",CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=CN=CC=C3)C4=CC=CC=C4)C,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=CN=CC=C3)C4=CC=CC=C4)C,2.6,1,5,6,77.0,374.17427596,0,False,False,False,False,False,False,0,True,0.2004756,0.8646248,0.9429506,0.04975164,0.9435881,0.73580396,0.99999774,-5.005016,-4.1609216,0.80885875,0.18080468,63.58523725834799,74.44639718804922,1.0,1.0,0.7,2.7,Cc1ncc(OC[C@@]2(c3ccccc3)C[C@H]2C(=O)Nc2cccnc2)c(C)n1,1.0,1.0,0.7,0.8,0.7,0.8646248,0.26419603999999997,0.7995244,0.765761826,16,True
similar_to_154617563_137460857,agonist_analog,137460857,C22H24F2N2O3S,434.5,"N-[1-(2,2-difluorocyclopropanecarbonyl)-2-[(3-phenylphenyl)methyl]pyrrolidin-3-yl]methanesulfonamide",CS(=O)(=O)NC1CCN(C1CC2=CC(=CC=C2)C3=CC=CC=C3)C(=O)C4CC4(F)F,CS(=O)(=O)NC1CCN(C1CC2=CC(=CC=C2)C3=CC=CC=C3)C(=O)C4CC4(F)F,3.4,1,6,6,74.9,434.14757013,0,False,False,False,False,False,False,0,True,0.46311182,0.91666985,0.7873457,0.0984791,0.90328205,0.74321437,0.9999546,-4.8478518,-3.9515889,0.86882365,0.8114484,71.42355008787347,74.90333919156416,1.0,1.0,0.7,2.7,CS(=O)(=O)NC1CCN(C(=O)C2CC2(F)F)C1Cc1cccc(-c2ccccc2)c1,1.0,1.0,0.7,0.8,0.7,0.91666985,0.25678563,0.53688818,0.764529716,17,True
similar_to_24965990_137638805,DORA_analog,137638805,C23H21FN6O2,432.4,"[(3aR,6aS)-2-(5-fluoro-1,3-benzoxazol-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3CC4CN(CC4C3)C5=NC6=C(O5)C=CC(=C6)F,CC1=CC(=C(C=C1)N2N=CC=N2)C(=O)N3C[C@H]4CN(C[C@H]4C3)C5=NC6=C(O5)C=CC(=C6)F,3.9,0,7,3,80.3,432.1710021,0,False,False,False,False,False,False,0,True,0.48082027,0.88275194,0.841296,0.16794972,0.9827372,0.91785467,0.9999941,-4.830619,-5.8616858,0.92594033,0.7735555,66.29173989455185,88.36555360281196,1.0,1.0,0.7,2.7,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@@H]3CN(c4nc5cc(F)ccc5o4)C[C@@H]3C2)c1,1.0,1.0,0.7,1.0,1.0,0.88275194,0.08214533000000002,0.5191797300000001,0.763968771,18,True
similar_to_56944144_56944143,DORA_analog,56944143,C23H22F2N4O3,440.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-4-methoxy-2-pyridinyl)-2-(3-fluorophenyl)cyclopropane-1-carboxamide",CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC=C(C(=C3)OC)F)C4=CC(=CC=C4)F)C,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC=C(C(=C3)OC)F)C4=CC(=CC=C4)F)C,3.1,1,8,7,86.2,440.1659969,0,False,False,False,False,False,False,0,True,0.4115924,0.90400755,0.9747249,0.016926628,0.85801,0.7580627,0.99999607,-4.7902884,-5.218576,0.91326654,0.26696974,69.45518453427066,75.92267135325133,1.0,1.0,0.7,2.7,COc1cc(NC(=O)[C@@H]2C[C@@]2(COc2cnc(C)nc2C)c2cccc(F)c2)ncc1F,1.0,1.0,0.7,0.8,0.7,0.90400755,0.24193730000000002,0.5884076,0.7617128625,19,True
similar_to_56944144_67282493,DORA_analog,67282493,C23H22F2N4O3,440.4,"cis-(1R,2S)-2-[(2,4-dimethylpyrimidin-5-yl)oxymethyl]-N-(5-fluoro-6-methoxy-2-pyridinyl)-2-(3-fluorophenyl)cyclopropane-1-carboxamide",CC1=NC(=NC=C1OCC2(CC2C(=O)NC3=NC(=C(C=C3)F)OC)C4=CC(=CC=C4)F)C,CC1=NC(=NC=C1OC[C@]2(C[C@H]2C(=O)NC3=NC(=C(C=C3)F)OC)C4=CC(=CC=C4)F)C,3.5,1,8,7,86.2,440.1659969,0,False,False,False,False,False,False,0,True,0.5019413,0.92469656,0.9633554,0.024929956,0.9151659,0.8023841,0.9999976,-4.757566,-5.3305864,0.91084874,0.38612625,72.72407732864676,79.19156414762742,1.0,1.0,0.7,2.7,COc1nc(NC(=O)[C@@H]2C[C@@]2(COc2cnc(C)nc2C)c2cccc(F)c2)ccc1F,1.0,1.0,0.7,0.8,0.7,0.92469656,0.19761589999999996,0.49805869999999997,0.75571946,20,True
